class-label;book;books-href;author;year;language;mainchars;subgenre;place of action;time of action;plot goal;plot linearity;age;annotation;voters;score avg;votes;men 10s;men 9s;men 8s;men 7s;men 6s;men 5s;men 4s;men 3s;men 2s;men 1s;women 10s;women 9s;women 8s;women 7s;women 6s;women 5s;women 4s;women 2s;women 1s;<18 quantity;<18 score;18-24 quantity;18-24 score;25-34 quantity;25-34 score;35-44 quantity;35-44 score;45-55 quantity;45-55 score;>55 quantity;>55 score;Adventurous-rogue;Antiwar;Military;Ironic;Lyrical;Based on the game universe;Film novelization;Parody;Adventure;Manufacturing;Psychological;Religious;Using mythology;With many intrigues;With a pronounced love line;Satirical;Family and household;Social;Feminist;Philosophical;Erotic;Humorous
Catastrophe;«The Fog»;https://fantlab.ru/work883787;Морли Робертс;1908;английский; Психологическое | Социальное;Роман-катастрофа;Наш мир (Земля);20 век;Стихийные бедствия, природные катаклизмы;Линейный;Любой;null;5;7.13;15;1;1;1;4;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;;2;6;3;7.67;0;;0;;___;___;___;___;___;___;___;___;___;___;_1_;___;___;___;___;___;___;_1_;___;___;___;___
Catastrophe;«Аберрация»;https://fantlab.ru/work248713;Дмитрий Федотов;2011;русский; Приключенческое;«Твёрдая» научная фантастика;Наш мир (Земля);Близкое будущее;Спасение мира;Линейно-параллельный;Для взрослых;К Земле приближается гигантский астероид. Разминуться с ним нет никакой возможности. Учёными предложено изящное решение: в момент прохождения астероида, спрятать Землю в параллельном пространстве. Противодействие извне, оказываемое осуществлению проекта, приводит к аварии. Во время запуска генератора римановой метрики происходит аберрация — многократное дублирование реальности. Возможно ли всё исправить и найти правильное решение? Времени осталось очень мало!;5;5.25;40;1;0;1;4;10;6;6;2;2;1;0;0;1;1;2;1;1;0;0;0;;0;;6;4.67;10;5.4;6;5.33;6;5.17;___;___;___;___;___;___;___;___;_1_;___;___;___;___;___;___;___;___;___;___;___;___;___
Catastrophe;«Адские мишко»;https://fantlab.ru/work248589;Максим Черепанов;2005;русский; Социальное | Психологическое | Военное;Роман-катастрофа;Наш мир (Земля);21 век;Вторжение «Чужих»;Линейный;Любой;После вторжения чужих, Земля лежит в руинах и кажется, что надежды нет. Но, благодаря одному единственному ребёнку, появляется точка соприкосновения двух чуждых друг другу рас.;6;7.25;8;0;3;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;1;9;2;6;2;7;1;6;___;___;_1_;___;___;___;___;___;___;___;_1_;___;___;___;___;___;___;_1_;___;___;___;___
Catastrophe;«Антракт»;https://fantlab.ru/work132337;Дмитрий Смоленский;2009;русский; Психологическое | Социальное;«Мягкая» научная фантастика;Наш мир (Земля);21 век;Стихийные бедствия, природные катаклизмы;Линейный;Любой;Стена тумана надвигается с востока на Новосибирск. Жители в спешном порядке покидают свои дома и отправляются на запад. Два студента-недоучки решили остаться и посмотреть, что же будет...;6;6.62;16;0;1;2;4;6;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;;2;7;2;7.5;6;6.5;1;6;___;___;___;___;___;___;___;___;___;___;_1_;___;___;___;___;___;___;_1_;___;___;___;___
Catastrophe;«Бриг «Ужас»;https://fantlab.ru/work134422;Фердинанд Оссендовский;1913;русский; Приключенческое | Производственное | Психологическое;«Мягкая» научная фантастика;Наш мир (Земля);20 век;Тёмный властелин;Линейный с экскурсами;Любой;Почему может сгнить корабль за один день? Как вся рыба в море может умереть в один день? Несчастная любовь может привести к бедам мирового масштаба.;8;6.5;22;0;0;2;9;9;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;;2;7;2;7.5;5;6.8;4;6.5;___;___;___;___;___;___;___;___;_1_;_1_;_1_;___;___;___;___;___;___;___;___;___;___;___
Catastrophe;«Вполне порядочный мир»;https://fantlab.ru/work66451;Александр Стоянов;1990;русский; Социальное;Роман-катастрофа;Наш мир (Земля);21 век;Стихийные бедствия, природные катаклизмы;null;Любой;null;5;5.69;16;0;0;0;4;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;2;5.5;3;5.67;8;6.25;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;_1_;___;___;___;___
Catastrophe;«Вся мерзость мира»;https://fantlab.ru/work98918;Геннадий Ануфриев;1991;русский; Социальное;«Мягкая» научная фантастика;Наш мир (Земля);Близкое будущее;Умирающая Земля;Линейный с экскурсами;Любой;На Земле, и без того страдающей от экологического кризиса, открылись некие «окна», и через них хлынул поток переселенцев из будущего, которым тоже хотелось поваляться на травке и подышать свежим воздухом. Пришлось принимать жёсткие меры.;5;5.07;15;0;0;0;3;1;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;;0;;0;;1;4;2;5.5;6;5.33;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;_1_;___;___;___;___
Catastrophe;«Гаммельнская чума / The Hamelin Plague»;https://fantlab.ru/work105189;Бертрам Чандлер;1963;английский; Приключенческое;Роман-катастрофа;Наш мир (Земля);20 век;Спасение мира;Линейный;Любой;Сначала неприятности накапливались постепенно: начали пропадать кошки и собаки, в домах исчезали мелкие вещи и спички, в больницы и морги стали попадать дети, бомжи и пьяницы с обгрызенными лицами, потом повсюду стали возникать пожары, а мир настигла череда техногенных катастроф, и наконец, Землю захватили полчища крыс, возглавляемых своими собратьями-мутантами. У чудом спасшегося от всемирной катастрофы экипажа маленького австралийского торгового судна осталась надежда только на изобретение безумного ученого, отвергнутое в своё время военными. И горстка людей отправляется на поиски изобретателя.;5;7.15;13;0;1;4;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;1;6;3;7.67;4;7.25;___;___;___;___;___;___;___;___;_1_;___;___;___;___;___;___;___;___;___;___;___;___;___
Catastrophe;«Город-джунгли / La Ville est une Jungle»;https://fantlab.ru/work90275;Норман Руссо;1983;французский; Социальное;Роман-катастрофа;Наш мир (Земля);21 век;Стихийные бедствия, природные катаклизмы;Линейный;Любой;Когда в этом городе погибло последнее дерево, природа взбунтовалась против человека. Свое наступление она начала с зазеленевшего телеграфного столба.;5;6.12;16;0;0;1;2;10;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;;0;;2;7;4;6.25;6;5.83;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;_1_;___;___;___;___
Catastrophe;«Грядущие чудеса / Wonders to Come»;https://fantlab.ru/work943880;Кристофер Фаулер;2016;английский;Место действия: Наш мир (Земля) (Европа (Западная ));«Мягкая» научная фантастика;null;21 век;Вторжение «Чужих»;Линейный;Любой;null;6;5.86;36;1;2;1;5;10;6;2;1;1;1;0;1;0;1;2;0;2;0;0;0;;0;;5;5.6;5;6.8;1;6;1;5;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___;___
